listing_data_air_conditioning,listing_data_num_bedrooms,address_lon,listing_data_lot_area_acres,listing_data_garage_or_park_sqft,address_address_line1,address_city,address_state,address_zipcode,last_sold_date,sold_price_history,last_sold_price,listing_data_num_bathrooms,address_lat,prop_taxes,listing_data_fireplace,year_built,listing_data_roof_type,listing_data_building_area_sq_ft,listing_data_heat_type,address_unit,listing_data_basement_area,address_slug,listing_data_lot_area_sqft
Central,4,-80.76051,0.33,625 ,100 James Drew Ct,Charlotte,NC,28270,2017-04-07,"{""20170407"": 420000, ""20120228"": 350000}",420000,2,35.13115,4621.44,1,1987,I00,3222,Yes,None,,100-James-Drew-Ct-Charlotte-NC-28270,-
Central,2,-80.81789,0.0,,100 N Laurel Ave,Charlotte,NC,28207,2017-04-18,"{""20170418"": 310000, ""20131119"": 230000, ""20090514"": 245000}",310000,2,35.20436,3096.63,,2007,,1378,Yes,Apt 101,,100-N-Laurel-Ave-Apt-101-Charlotte-NC-28207,-
None,2,-80.8649401,0.17,,100 S Gregg St,Charlotte,NC,28208,2017-05-19,"{""20030228"": 34000, ""20150915"": 90000, ""20170519"": 267000}",267000,1,35.2488,722.71,,1947,G00,800,Yes,None,,100-S-Gregg-St-Charlotte-NC-28208,-
None,2,-80.86175,0.25,,100 Seldon Dr,Charlotte,NC,28216,2016-10-31,"{""20161031"": 125000, ""20160613"": 69000}",125000,1,35.24591,810.72,,1948,I00,956,Yes,None,,100-Seldon-Dr-Charlotte-NC-28216,-
Central,4,-80.8211201,0.23,,1000 Belmont Ave,Charlotte,NC,28205,2016-11-21,"{""20160812"": 125500, ""20161121"": 175000}",175000,2,35.22756,1620.58,,1965,G00,2250,Yes,None,,1000-Belmont-Ave-Charlotte-NC-28205,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2017-05-04,"{""20170504"": 207000, ""20150220"": 177000}",207000,2,35.17211,2047.8,,2008,,1198,Yes,Apt 113,,1000-E-Woodlawn-Rd-Apt-113-Charlotte-NC-28209,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2017-07-03,"{""20170703"": 210000, ""20090513"": 185000}",210000,2,35.17211,2142.66,1,2008,,1198,Yes,Apt 117,,1000-E-Woodlawn-Rd-Apt-117-Charlotte-NC-28209,-
Central,3,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2017-06-06,"{""20170606"": 230000, ""20080902"": 202500}",230000,2,35.17211,2498.63,1,2008,,1429,Yes,Apt 119,,1000-E-Woodlawn-Rd-Apt-119-Charlotte-NC-28209,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2017-05-31,"{""20141113"": 181000, ""20170531"": 220000, ""20080917"": 185500}",220000,2,35.17211,2112.02,1,2008,,1198,Yes,Apt 121,,1000-E-Woodlawn-Rd-Apt-121-Charlotte-NC-28209,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2016-08-26,"{""20080908"": 156000, ""20160826"": 205000}",205000,2,35.17211,2142.66,1,2008,,1198,Yes,Apt 122,,1000-E-Woodlawn-Rd-Apt-122-Charlotte-NC-28209,-
Central,3,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2016-11-18,"{""20090918"": 199000, ""20161118"": 744000}",744000,2,35.17211,2536.16,1,2008,,1433,Yes,Apt 206,,1000-E-Woodlawn-Rd-Apt-206-Charlotte-NC-28209,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2016-12-16,"{""20161216"": 205000, ""20080923"": 164500}",205000,2,35.17211,2142.66,1,2008,,1198,Yes,Apt 308,,1000-E-Woodlawn-Rd-Apt-308-Charlotte-NC-28209,-
Central,2,-80.86095,0.0,,1000 E Woodlawn Rd,Charlotte,NC,28209,2016-11-16,"{""20161116"": 195000, ""20080919"": 199000}",195000,2,35.17211,2142.66,1,2008,,1198,Yes,Apt 322,,1000-E-Woodlawn-Rd-Apt-322-Charlotte-NC-28209,-
None,2,-80.8090401,0.29,,1000 Everett Pl,Charlotte,NC,28205,2016-12-20,"{""20161220"": 252500}",252500,1,35.23681,1161.51,1,1948,G00,900,Yes,None,,1000-Everett-Pl-Charlotte-NC-28205,-
Central,3,-80.9004301,0.17,,1000 Lewiston Ave,Charlotte,NC,28208,2017-07-31,"{""20170731"": 115000}",115000,2,35.26159,1041.13,,2005,,1032,Yes,None,,1000-Lewiston-Ave-Charlotte-NC-28208,-
Central,3,-80.8606401,0.3,,1000 Montford Dr,Charlotte,NC,28209,2016-08-25,"{""20160825"": 280000}",280000,1,35.16986,2600.88,1,1954,G00,1398,Yes,None,,1000-Montford-Dr-Charlotte-NC-28209,-
Central,3,-80.70776,0.18,399 ,1000 Morning Glory Dr,Charlotte,NC,28262,2017-01-20,"{""20020628"": 122000, ""19990222"": 118000, ""20170120"": 140000}",140000,2,35.31769,1556.3,1,1998,G00,1398,Yes,None,,1000-Morning-Glory-Dr-Charlotte-NC-28262,-
None,3,-80.79041,2.5,,1000 River Oaks Ln,Charlotte,NC,28226,2017-01-20,"{""20160902"": 230000, ""20170120"": 519000}",519000,3,35.13036,3356.81,1,1963,G00,2766,Yes,None,1102,1000-River-Oaks-Ln-Charlotte-NC-28226,-
Central,2,-80.85511,0.09,180 ,1000 Westbrook Dr,Charlotte,NC,28202,2017-01-13,"{""20150701"": 99000, ""20170112"": 471000, ""20130628"": 172500, ""20170113"": 466000}",466000,1,35.23239,1180.08,1,1940,G00,816,Yes,None,,1000-Westbrook-Dr-Charlotte-NC-28202,-
Central,3,-80.6669071,0.2583,460 ,10000 Holly Tree Dr,Charlotte,NC,28215,2016-12-29,"{""20161229"": 170000, ""20081030"": 146500}",170000,2,35.277782,1310.28,Y,1989,G00,1790,Forced Air Unit,None,464,10000-Holly-Tree-Dr-Charlotte-NC-28215,LDR
Central,4,-80.9614501,0.0,,10000 Loughlin Ln,Charlotte,NC,28273,2016-06-21,"{""20131223"": 253500, ""20160621"": 270000}",270000,3,35.09957,3254.56,1,2013,,3597,Yes,None,,10000-Loughlin-Ln-Charlotte-NC-28273,-
Central,3,-80.77506,0.35,420 ,10000 Prosperity Point Ln,Charlotte,NC,28269,2016-07-28,"{""20110224"": 130000, ""20160728"": 170000}",170000,2,35.34335,1905.79,1,1992,G00,1648,Yes,None,,10000-Prosperity-Point-Ln-Charlotte-NC-28269,-
Central,3,-80.78573,0.36,440 ,10001 Crayton Dr,Charlotte,NC,28269,2017-03-10,"{""20170310"": 190000, ""20100802"": 130000}",190000,2,35.35134,1723.27,1,1990,G00,1966,Yes,None,,10001-Crayton-Dr-Charlotte-NC-28269,-
Central,3,-80.77548,0.46,550 ,10002 Gardendale Ct,Charlotte,NC,28269,2017-07-07,"{""20170707"": 220000, ""20030826"": 159000}",220000,2,35.34442,2040.4,1,1994,G00,1792,Yes,None,,10002-Gardendale-Ct-Charlotte-NC-28269,-
Central,3,-80.8119301,0.0,,10003 Garrison Watch Ave,Charlotte,NC,28277,2017-04-28,"{""20170428"": 247500, ""20060331"": 197000, ""20140228"": 210000}",247500,2,35.03296,2421.61,1,2006,,1836,Yes,None,,10003-Garrison-Watch-Ave-Charlotte-NC-28277,-
Central,3,-80.8600901,0.0,,10003 Reindeer Way Ln,Charlotte,NC,28216,2016-07-18,"{""20060925"": 128500, ""20160718"": 132500}",132500,1,35.36048,1242.67,,2003,,1602,Yes,None,,10003-Reindeer-Way-Ln-Charlotte-NC-28216,-
